2025/04/06 19:35:086348 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81603 - TcpServer.cc:114
2025/04/06 19:35:086355 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086417 INFO  removeChannel fd=13 - EPollPoller.cc:102
2025/04/06 19:35:086426 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81603]at fd=13state=0 - TcpConnection.cc:58
2025/04/06 19:35:086436 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:086441 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:086444 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086456 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:086460 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81606]from %s127.0.0.1:39782 - TcpServer.cc:75
2025/04/06 19:35:086467 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81606]at fd=13 - TcpConnection.cc:52
2025/04/06 19:35:086477 INFO  func =>fd13events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:086484 INFO  HTTP Connection UP: 127.0.0.1:39782 - main.cc:96
2025/04/06 19:35:086489 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:086496 INFO  TcpConnection::handleClose fd=14state=3 - TcpConnection.cc:241
2025/04/06 19:35:086499 INFO  func =>fd14events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:086502 INFO  HTTP Connection DOWN: 127.0.0.1:39762 - main.cc:98
2025/04/06 19:35:086507 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81604 - TcpServer.cc:114
2025/04/06 19:35:086515 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086573 INFO  removeChannel fd=14 - EPollPoller.cc:102
2025/04/06 19:35:086580 INFO  TcpConnection::dtor[HttpServer-127.0.0.1:8080#81604]at fd=14state=0 - TcpConnection.cc:58
2025/04/06 19:35:086591 INFO  fd total count:4 - EPollPoller.cc:32
2025/04/06 19:35:086596 INFO  events happend3 - EPollPoller.cc:40
2025/04/06 19:35:086599 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086611 ERROR EventLoopThreadPool::getNextLoop ERROR - EventLoopThreadPool.cc:43
2025/04/06 19:35:086615 INFO  TcpServer::newConnection [HttpServer]- new connection [HttpServer-127.0.0.1:8080#81607]from %s127.0.0.1:39792 - TcpServer.cc:75
2025/04/06 19:35:086623 INFO  TcpConnection::ctor:[HttpServer-127.0.0.1:8080#81607]at fd=14 - TcpConnection.cc:52
2025/04/06 19:35:086643 INFO  func =>fd14events=3index=-1 - EPollPoller.cc:66
2025/04/06 19:35:086654 INFO  HTTP Connection UP: 127.0.0.1:39792 - main.cc:96
2025/04/06 19:35:086659 INFO  channel handleEvent revents:17 - Channel.cc:73
2025/04/06 19:35:086666 INFO  TcpConnection::handleClose fd=5state=3 - TcpConnection.cc:241
2025/04/06 19:35:086669 INFO  func =>fd5events=0index=1 - EPollPoller.cc:66
2025/04/06 19:35:086673 INFO  HTTP Connection DOWN: 127.0.0.1:39776 - main.cc:98
2025/04/06 19:35:086678 INFO  TcpServer::removeConnectionInLoop [HttpServer] - connection %sHttpServer-127.0.0.1:8080#81605 - TcpServer.cc:114
2025/04/06 19:35:086685 INFO  channel handleEvent revents:1 - Channel.cc:73
2025/04/06 19:35:086749 INFO  removeChannel fd=5 - EPollPoller.cc:102
